# This file has been generated by fmt_fig7.py
#
#
# t_organ: [°C] temperature of organ
# cluster_stage: [g cO2.g FW-1.h-1] Cluster respiration at given pheno stage
# leaf_stage: [µg cO2.m-2.h-1] Leaf respiration at given pheno stage
# stem_stage: [µg cO2.m-2.h-1] Stem respiration at given pheno stage
#
t_organ;cluster_flowering;cluster_ripening;cluster_veraison;leaf_3w_aft_bb;leaf_flowering;leaf_ripening;leaf_senescence;leaf_veraison;stem_3w_aft_bb;stem_flowering;stem_ripening;stem_veraison
10;0.262;0.048;0.029;35.197;22.155;4.607;2.236;21.522;155.845;110.372;22.853;20.825
15;0.520;0.035;0.027;53.455;35.434;7.927;4.291;28.004;202.673;188.573;21.982;29.012
20;0.884;0.066;0.056;55.510;39.070;8.876;5.556;45.551;337.222;240.309;28.876;38.765
25;1.230;0.072;0.054;77.800;59.621;13.618;6.465;51.163;426.921;312.960;46.000;62.135
30;1.391;0.058;0.044;85.546;81.594;16.938;8.243;55.589;684.148;538.091;60.436;76.632
35;1.575;0.098;0.135;114.318;94.241;19.309;9.192;71.793;871.460;650.752;63.896;99.650
