# This file has been generated by fmt_fig6_params.py
#
# constant: name of variable
# unit: [none]
# value: [unit]
#
constant;unit;value
ca;[µbar];360.000
temp;[°C];25.000
vpd;[kPa];2.100
oi;[µbar];210000.000
vcmax_25;[µmol.m-2.s-1];120.000
jmax_25;[µmol.m-2.s-1];230.000
rd_25;[µmol.m-2.s-1];1.200
gb;[mol.m-2.s-1.bar-1];1.500
g0;[mol.m-2.s-1.bar-1];0.010
a1;[-];0.900
b1;[kPa-1];0.150
gm;[mol.m-2.s-1.bar-1];0.400
alpha;[-];0.100
gbs;[mol.m-2.s-1.bar-1];0.003
