# This file has been generated by fmt_fig2.py
#
# date: datetime
# an: [µmol CO2.m-2.s-1] net carbon assimilation
# cc: [µbar] CO2 concentration in the mesophyl
# i_abs: [µmol photon.m-2.s-1] radiation
# t_leaf: [°C] leaf temperature
#
an;cc;i_abs;t_leaf
10.96;245;250;5.08
11.77;245;250;6.44
12.47;245;250;7.69
13.07;245;250;8.84
13.59;245;250;9.89
14.02;245;250;10.85
14.38;245;250;11.73
14.67;245;250;12.55
14.91;245;250;13.30
15.09;245;250;14.00
15.22;245;250;14.65
15.32;245;250;15.27
15.38;245;250;15.86
15.42;245;250;16.44
15.44;245;250;17.00
15.46;245;250;17.56
15.47;245;250;18.13
15.42;245;250;19.60
15.21;245;250;21.10
14.85;245;250;22.64
14.38;245;250;24.19
13.80;245;250;25.74
13.14;245;250;27.29
12.41;245;250;28.82
11.63;245;250;30.32
10.82;245;250;31.79
10.01;245;250;33.19
9.20;245;250;34.54
8.41;245;250;35.80
7.68;245;250;36.99
7.00;245;250;38.07
6.41;245;250;39.04
5.91;245;250;39.89
11.32;245;500;4.92
12.17;245;500;6.31
12.98;245;500;7.63
13.77;245;500;8.89
14.52;245;500;10.11
15.24;245;500;11.28
15.91;245;500;12.42
16.54;245;500;13.52
17.11;245;500;14.61
17.64;245;500;15.68
18.11;245;500;16.75
18.51;245;500;17.81
18.86;245;500;18.88
19.13;245;500;19.97
19.34;245;500;21.08
19.46;245;500;22.21
19.51;245;500;23.39
19.44;245;500;24.91
19.21;245;500;26.37
18.85;245;500;27.76
18.36;245;500;29.09
17.76;245;500;30.36
17.09;245;500;31.57
16.34;245;500;32.71
15.55;245;500;33.79
14.72;245;500;34.80
13.88;245;500;35.75
13.04;245;500;36.63
12.23;245;500;37.45
11.46;245;500;38.20
10.75;245;500;38.88
10.11;245;500;39.50
9.56;245;500;40.05
11.25;245;1000;4.81
12.13;245;1000;6.07
13.00;245;1000;7.33
13.86;245;1000;8.59
14.69;245;1000;9.85
15.50;245;1000;11.11
16.27;245;1000;12.37
16.99;245;1000;13.63
17.67;245;1000;14.88
18.29;245;1000;16.13
18.86;245;1000;17.38
19.35;245;1000;18.62
19.77;245;1000;19.86
20.11;245;1000;21.08
20.37;245;1000;22.30
20.53;245;1000;23.51
20.59;245;1000;24.71
20.52;245;1000;26.22
20.30;245;1000;27.65
19.94;245;1000;28.99
19.47;245;1000;30.25
18.89;245;1000;31.44
18.23;245;1000;32.54
17.50;245;1000;33.58
16.72;245;1000;34.54
15.91;245;1000;35.44
15.08;245;1000;36.27
14.25;245;1000;37.04
13.44;245;1000;37.74
12.66;245;1000;38.39
11.94;245;1000;38.98
11.28;245;1000;39.51
10.71;245;1000;40.00
9.12;125;500;5.02
9.30;125;500;5.45
9.48;125;500;5.86
