# This file has been generated by fmt_fig2.py
#
# date: datetime
# an: [µmol CO2.m-2.s-1] net carbon assimilation
# cc: [µbar] CO2 concentration in the mesophyl
# i_abs: [µmol photon.m-2.s-1] radiation
# t_leaf: [°C] leaf temperature
#
an;cc;i_abs;t_leaf
9.64;125;500;6.25
9.80;125;500;6.65
9.95;125;500;7.04
10.09;125;500;7.42
10.24;125;500;7.80
10.37;125;500;8.17
10.50;125;500;8.53
10.62;125;500;8.89
10.74;125;500;9.23
10.85;125;500;9.57
10.96;125;500;9.91
11.06;125;500;10.24
11.15;125;500;10.57
11.25;125;500;10.89
11.33;125;500;11.20
11.42;125;500;11.51
11.50;125;500;11.81
11.57;125;500;12.11
11.64;125;500;12.40
11.70;125;500;12.69
11.77;125;500;12.97
11.82;125;500;13.24
11.88;125;500;13.52
11.93;125;500;13.79
11.97;125;500;14.05
12.02;125;500;14.31
12.06;125;500;14.56
12.10;125;500;14.81
12.13;125;500;15.06
12.17;125;500;15.30
12.19;125;500;15.54
12.22;125;500;15.77
12.25;125;500;16.00
12.27;125;500;16.23
12.29;125;500;16.45
12.31;125;500;16.67
12.33;125;500;16.89
12.34;125;500;17.10
12.36;125;500;17.32
12.37;125;500;17.52
12.38;125;500;17.73
12.39;125;500;17.93
12.40;125;500;18.13
12.41;125;500;18.33
12.42;125;500;18.52
12.43;125;500;18.72
12.45;125;500;19.29
12.44;125;500;19.85
12.41;125;500;20.41
12.37;125;500;20.97
12.31;125;500;21.52
12.22;125;500;22.07
12.13;125;500;22.61
12.02;125;500;23.15
11.89;125;500;23.69
11.75;125;500;24.22
11.60;125;500;24.74
11.42;125;500;25.26
11.25;125;500;25.78
11.05;125;500;26.29
10.84;125;500;26.80
10.63;125;500;27.30
10.40;125;500;27.80
10.16;125;500;28.29
9.92;125;500;28.77
9.67;125;500;29.26
9.40;125;500;29.73
9.14;125;500;30.20
8.86;125;500;30.67
8.57;125;500;31.12
8.29;125;500;31.58
8.00;125;500;32.03
7.70;125;500;32.46
7.40;125;500;32.90
7.10;125;500;33.33
6.79;125;500;33.75
6.49;125;500;34.17
6.18;125;500;34.59
5.87;125;500;34.99
5.56;125;500;35.39
5.25;125;500;35.78
4.94;125;500;36.17
4.64;125;500;36.55
4.33;125;500;36.92
4.04;125;500;37.28
3.74;125;500;37.65
3.45;125;500;38.00
3.16;125;500;38.34
2.88;125;500;38.68
2.60;125;500;39.01
2.34;125;500;39.33
2.07;125;500;39.66
1.82;125;500;39.96
1.58;125;500;40.26
12.96;490;500;4.92
13.32;490;500;5.34
13.70;490;500;5.76
14.08;490;500;6.18
14.46;490;500;6.61
14.85;490;500;7.04
15.24;490;500;7.47
15.63;490;500;7.90
16.03;490;500;8.33
16.43;490;500;8.77
16.83;490;500;9.21
17.23;490;500;9.65
17.63;490;500;10.09
18.03;490;500;10.53
18.43;490;500;10.98
18.83;490;500;11.42
19.22;490;500;11.87
19.61;490;500;12.32
20.00;490;500;12.77
20.39;490;500;13.22
20.77;490;500;13.67
21.14;490;500;14.12
21.51;490;500;14.58
21.88;490;500;15.03
22.23;490;500;15.49
22.58;490;500;15.94
22.92;490;500;16.40
23.25;490;500;16.85
23.58;490;500;17.31
23.89;490;500;17.77
24.19;490;500;18.23
24.48;490;500;18.68
24.76;490;500;19.14
25.02;490;500;19.60
25.28;490;500;20.06
25.53;490;500;20.51
25.74;490;500;20.97
25.96;490;500;21.43
26.16;490;500;21.88
26.34;490;500;22.34
26.51;490;500;22.80
26.66;490;500;23.25
26.78;490;500;23.71
26.90;490;500;24.16
26.99;490;500;24.61
27.06;490;500;25.06
27.12;490;500;25.51
27.16;490;500;25.96
27.16;490;500;26.41
27.16;490;500;26.83
27.15;490;500;27.23
27.11;490;500;27.62
27.08;490;500;28.02
27.03;490;500;28.40
26.96;490;500;28.78
26.89;490;500;29.15
26.80;490;500;29.52
26.71;490;500;29.87
26.61;490;500;30.23
26.49;490;500;30.57
26.37;490;500;30.91
26.24;490;500;31.25
26.10;490;500;31.58
25.95;490;500;31.90
25.80;490;500;32.22
25.64;490;500;32.53
25.47;490;500;32.84
25.29;490;500;33.14
25.11;490;500;33.44
24.92;490;500;33.73
24.73;490;500;34.02
24.53;490;500;34.30
24.32;490;500;34.58
24.12;490;500;34.85
23.90;490;500;35.12
23.68;490;500;35.39
23.47;490;500;35.65
23.24;490;500;35.91
23.01;490;500;36.16
22.78;490;500;36.41
22.55;490;500;36.65
22.31;490;500;36.89
22.08;490;500;37.13
21.84;490;500;37.37
21.60;490;500;37.60
21.36;490;500;37.83
21.12;490;500;38.05
20.88;490;500;38.27
20.64;490;500;38.50
20.41;490;500;38.71
20.17;490;500;38.92
19.93;490;500;39.14
19.70;490;500;39.35
19.46;490;500;39.55
19.23;490;500;39.76
19.00;490;500;39.96
18.78;490;500;40.16
