# This file has been generated by fmt_fig5.py
#
#
# hour: [-] time during the day
# an_DD: [µmol CO2.m-2.s-1] net photosynthesis at day DD
# gs_DD: [µmol CO2.m-2.s-1] gs_CO2 at day DD
# ci_frac_DD: [-] ratio ci/cs at day DD
# le_DD: [W.m-2] latent heat at day DD
#
hour;an_01;an_10;an_13;an_16;ci_frac_01;ci_frac_10;ci_frac_13;ci_frac_16;gs_01;gs_10;gs_13;gs_16;le_01;le_10;le_13;le_16
0.000;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
0.167;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
0.333;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
0.500;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
0.667;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
0.833;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
1.000;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
1.167;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
1.333;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
1.500;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
1.667;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
1.833;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
2.000;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
2.167;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
2.333;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
2.500;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
2.667;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
2.833;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
3.000;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
3.167;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
3.333;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
3.500;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
3.667;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
3.833;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
4.000;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
4.167;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
4.333;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
4.500;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
4.667;0.000;0.000;0.000;0.000;0.709;0.709;0.709;0.709;0.013;0.013;0.013;0.013;0.000;0.000;0.000;0.000
4.833;1.102;1.107;1.010;1.078;0.693;0.693;0.693;0.693;0.019;0.019;0.019;0.019;0.659;0.423;0.682;0.707
5.000;2.501;2.519;2.249;2.429;0.690;0.690;0.690;0.690;0.030;0.030;0.029;0.029;1.696;1.089;1.753;1.818
5.167;3.936;3.977;3.548;3.791;0.690;0.690;0.690;0.690;0.041;0.040;0.040;0.040;2.732;2.013;2.825;3.560
5.333;5.376;5.445;4.858;5.156;0.690;0.690;0.690;0.690;0.053;0.052;0.051;0.051;5.463;4.028;5.079;5.873
5.500;6.814;6.910;6.189;6.521;0.691;0.690;0.691;0.690;0.065;0.064;0.063;0.063;8.558;6.044;7.689;8.756
5.667;8.226;8.353;7.525;7.882;0.692;0.691;0.692;0.691;0.078;0.076;0.075;0.074;11.761;9.240;10.387;12.213
5.833;9.623;9.771;8.864;9.233;0.692;0.691;0.692;0.691;0.091;0.088;0.087;0.087;16.674;12.603;14.490;16.275
6.000;10.980;11.157;10.194;10.577;0.693;0.692;0.693;0.692;0.104;0.101;0.099;0.100;21.588;16.857;18.592;20.816
6.167;12.316;12.504;11.519;11.900;0.694;0.693;0.694;0.692;0.117;0.114;0.112;0.113;27.015;21.539;23.394;26.074
6.333;13.598;13.810;12.820;13.209;0.695;0.693;0.694;0.693;0.131;0.127;0.125;0.126;33.472;26.942;28.910;31.630
6.500;14.871;15.079;14.111;14.500;0.695;0.694;0.695;0.693;0.144;0.140;0.138;0.140;39.929;32.879;34.509;38.076
6.667;16.063;16.288;15.367;15.759;0.696;0.694;0.695;0.694;0.157;0.153;0.151;0.154;47.173;39.466;41.321;44.811
6.833;17.255;17.487;16.606;17.001;0.697;0.695;0.696;0.694;0.170;0.166;0.163;0.168;54.871;46.560;48.133;52.167
7.000;18.371;18.587;17.804;18.197;0.698;0.696;0.696;0.694;0.183;0.178;0.176;0.182;62.569;54.286;55.803;60.057
7.167;19.461;19.687;18.975;19.361;0.698;0.696;0.697;0.694;0.196;0.191;0.189;0.195;71.139;62.401;63.755;68.320
7.333;20.527;20.714;20.106;20.491;0.699;0.697;0.697;0.694;0.207;0.203;0.202;0.207;79.755;71.140;72.220;77.087
7.500;21.507;21.695;21.193;21.549;0.699;0.697;0.697;0.694;0.219;0.215;0.214;0.219;88.528;80.104;81.108;86.286
7.667;22.486;22.677;22.250;22.564;0.700;0.697;0.697;0.694;0.230;0.227;0.226;0.229;97.726;89.643;90.297;95.759
7.833;23.405;23.541;23.238;23.511;0.700;0.698;0.698;0.694;0.241;0.238;0.237;0.238;106.923;99.284;99.872;105.433
8.000;24.266;24.398;24.220;24.349;0.701;0.698;0.698;0.694;0.252;0.249;0.248;0.244;116.261;109.304;109.609;115.136
8.167;25.128;25.244;25.094;25.094;0.701;0.699;0.698;0.691;0.261;0.259;0.258;0.247;125.699;119.373;119.578;124.541
8.333;25.912;25.973;25.968;25.718;0.701;0.699;0.698;0.686;0.271;0.269;0.268;0.248;135.137;129.561;129.576;133.040
