# This file has been generated by fmt_table3.py
#
# name: name of variable
# unit: [none]
# value: [unit]
#
name;unit;value
t_ref;[K];2.932e+02
vl_max_ref;[mol CO2.m-2.s-1];1.000e-04
f0_soil;[µmol CO2.m-2.s-1];3.000e+00
ea_soil;[J.mol-1];5.300e+04
oi;[mol.mol-1];2.100e-01
ko_ref;[mol.mol-1];2.560e-01
kc_ref;[mol.mol-1];3.020e-04
eo;[J.mol-1];3.600e+04
ec;[J.mol-1];5.943e+04
ea_v;[J.mol-1];5.852e+04
ed_v;[J.mol-1];2.200e+05
ea_j;[J.mol-1];3.700e+04
ed_j;[J.mol-1];2.200e+05
s;[J.mol-1.K-1];7.000e+02
alpha;[-];2.000e-01
theta;[-];9.000e-01
gamma_0;[mol.mol-1];2.800e-05
gamma_1;[-];5.090e-02
gamma_2;[-];1.000e-03
