t,r,y,u
0.00000000,43.79999924,43.81250000,0.00000000
0.00000000,40.00000000,44.12500000,0.00000000
0.80000000,40.20000076,44.25000000,0.00000000
1.60000000,40.40000153,44.06250000,0.00000000
2.40000000,40.59999847,43.81250000,0.00000000
3.20000000,40.79999924,43.56250000,0.00000000
4.00000000,41.00000000,43.31250000,0.00000000
4.80000000,41.20000076,43.06250000,2.26251268
5.60000000,41.40000153,42.81250000,5.74074459
6.40000000,41.59999847,42.50000000,14.41419506
7.20000000,41.79999924,42.25000000,19.18858147
8.00000000,42.00000000,42.25000000,20.34034729
8.80000000,42.20000076,42.25000000,26.83046341
9.60000000,42.40000153,42.37500000,23.91247940
10.40000000,42.59999847,42.50000000,31.19048882
11.20000000,42.79999924,42.68750000,25.91571999
12.00000000,43.00000000,43.00000000,27.84079933
12.80000000,43.20000076,43.25000000,24.31137085
13.60000000,43.40000153,43.50000000,25.87877083
14.40000000,43.59999847,43.75000000,21.81078720
15.20000000,43.79999924,44.00000000,23.00807381
16.00000000,44.00000000,44.18750000,21.21970940
16.80000000,44.20000076,44.37500000,22.53265572
17.60000000,44.40000153,44.50000000,23.59970665
18.40000000,44.59999847,44.68750000,22.69682312
19.20000000,44.79999924,44.81250000,26.71734619
20.00000000,45.00000000,45.06250000,20.69331741
20.80000000,45.20000076,45.25000000,27.26993942
21.60000000,45.40000153,45.43750000,21.13144112
22.40000000,45.59999847,45.62500000,28.01017952
23.20000000,45.79999924,45.81250000,21.75547981
24.00000000,46.00000000,46.00000000,28.94777298
24.80000000,46.20000076,46.18750000,22.57371712
25.60000000,46.40000153,46.37500000,30.09121895
26.40000000,46.59999847,46.56250000,23.59439468
27.20000000,46.79999924,46.81250000,28.61281967
28.00000000,47.00000000,47.00000000,24.32788086
28.80000000,47.20000076,47.18750000,29.60033417
29.60000000,47.40000153,47.43750000,22.42539215
30.40000000,47.59999847,47.62500000,30.29879761
31.20000000,47.79999924,47.81250000,22.97495651
32.00000000,48.00000000,48.06250000,28.36027527
32.80000000,48.20000076,48.18750000,26.05798149
33.60000000,48.40000153,48.37500000,29.37162399
34.40000000,48.59999847,48.56250000,27.08293343
35.20000000,48.79999924,48.81250000,27.76106834
36.00000000,49.00000000,49.00000000,27.82540512
36.80000000,49.20000076,49.18750000,28.61574936
37.60000000,49.40000153,49.37500000,28.77251434
38.40000000,49.59999847,49.62500000,26.84301567
39.20000000,49.79999924,49.81250000,29.43432808
40.00000000,50.00000000,49.93750000,30.36736870
40.80000000,50.20000076,50.18750000,27.96062851
41.60000000,50.40000153,50.43750000,28.51839828
42.40000000,50.59999847,50.62500000,28.46130371
43.20000000,50.79999924,50.81250000,29.12745667
44.00000000,51.00000000,51.00000000,29.15960503
44.80000000,51.20000076,51.18750000,29.93846130
45.60000000,51.40000153,51.37500000,30.06401062
46.40000000,51.59999847,51.56250000,30.96014214
47.20000000,51.79999924,51.75000000,31.18227005
48.00000000,52.00000000,51.93750000,32.20070267
48.80000000,52.20000076,52.18750000,29.68679047
49.60000000,52.40000153,52.43750000,30.33346748
50.40000000,52.59999847,52.62500000,30.16598511
51.20000000,52.79999924,52.81250000,30.92508888
52.00000000,53.00000000,52.93750000,33.67996216
52.80000000,53.20000076,53.12500000,32.21781158
53.60000000,53.40000153,53.37500000,32.32081604
54.40000000,53.59999847,53.62500000,30.40573120
55.20000000,53.79999924,53.81250000,32.94248199
56.00000000,54.00000000,54.00000000,31.05526543
56.80000000,54.20000076,54.18750000,33.76767349
57.60000000,54.40000153,54.37500000,31.91051483
58.40000000,54.59999847,54.56250000,34.80517197
59.20000000,54.79999924,54.75000000,32.97937012
60.00000000,55.00000000,55.00000000,33.22676086
60.80000000,55.20000076,55.18750000,33.77178574
61.60000000,55.40000153,55.37500000,34.11990738
62.40000000,55.59999847,55.62500000,31.93890762
63.20000000,55.79999924,55.81250000,34.72948837
64.00000000,56.00000000,56.00000000,32.56843567
64.80000000,56.20000076,56.18750000,35.54356384
65.60000000,56.40000153,56.37500000,33.40388489
66.40000000,56.59999847,56.56250000,36.57039642
67.20000000,56.79999924,56.81250000,31.61665154
68.00000000,57.00000000,57.00000000,37.31991196
68.80000000,57.20000076,57.12500000,35.13121414
69.60000000,57.40000153,57.37500000,35.94192123
70.40000000,57.59999847,57.56250000,36.11306000
71.20000000,57.79999924,57.75000000,37.04388809
72.00000000,58.00000000,57.93750000,37.31447983
72.80000000,58.20000076,58.18750000,35.53333282
73.60000000,58.40000153,58.43750000,35.40869141
74.40000000,58.59999847,58.62500000,35.99849319
75.20000000,58.79999924,58.81250000,35.96217346
76.00000000,59.00000000,59.00000000,36.66322327
76.80000000,59.20000076,59.18750000,36.71867371
77.60000000,59.40000153,59.37500000,37.53592682
78.40000000,59.59999847,59.56250000,37.68636322
79.20000000,59.79999924,59.75000000,38.62474060
80.00000000,60.00000000,60.00000000,36.03806686
80.80000000,60.00000000,60.18750000,30.57459831
81.60000000,60.00000000,60.37500000,26.39465714
82.40000000,60.00000000,60.50000000,22.07581902
83.20000000,60.00000000,60.56250000,19.57821465
84.00000000,60.00000000,60.50000000,20.27223396
84.80000000,60.00000000,60.37500000,21.00809669
85.60000000,60.00000000,60.25000000,22.70814705
86.40000000,60.00000000,60.12500000,24.45601463
87.20000000,60.00000000,60.00000000,27.20471001
88.00000000,60.00000000,59.93750000,27.16942215
88.80000000,60.00000000,59.87500000,30.50984955
89.60000000,60.00000000,59.87500000,28.13863182
90.40000000,60.00000000,59.87500000,31.59451485
91.20000000,60.00000000,59.87500000,29.14843750
92.00000000,60.00000000,59.93750000,29.88482475
92.80000000,60.00000000,59.93750000,29.69945145
93.60000000,60.00000000,60.00000000,27.62411118
94.40000000,60.00000000,60.00000000,29.77080536
95.20000000,60.00000000,60.00000000,27.62569046
96.00000000,60.00000000,60.00000000,29.84203911
96.80000000,60.00000000,60.00000000,27.62504387
97.60000000,60.00000000,60.06250000,27.07713318
98.40000000,60.00000000,60.06250000,27.12385559
99.20000000,60.00000000,60.06250000,26.55527687
100.00000000,60.00000000,60.00000000,29.43839645
100.80000000,60.00000000,60.00000000,26.51107407
101.60000000,60.00000000,60.00000000,29.48943520
102.40000000,60.00000000,60.00000000,26.46536255
103.20000000,60.00000000,60.00000000,29.54235840
104.00000000,60.00000000,60.00000000,26.41815376
104.80000000,60.00000000,60.00000000,29.59615326
105.60000000,60.00000000,60.00000000,26.36881638
106.40000000,60.00000000,60.00000000,29.65179825
107.20000000,60.00000000,60.00000000,26.31770325
108.00000000,60.00000000,60.00000000,29.70904732
108.80000000,60.00000000,60.00000000,26.26481056
109.60000000,60.00000000,60.00000000,29.76818085
