# This file has been generated by fmt_fig7.py
#
#
# solar_time: [h] time of measurement
# co2: [µll-1] CO2 concentration in the atmosphere
# pfd: [µmol photon.m-2.s-1] irradiance
# tca: [µmol CO2.plant-1.s-1] total amount of carbon assimilated by plant
# tce: [mmol H2O.plant-1.s-1] total amount of transpiration by plant
# vpd: [kPa] vapor pressure deficit
# wue: [µmol CO2.mmol H2O-1] water use efficiency
#
solar_time;co2;pfd;tca;tce;vpd;wue
5.00;340.11;5.73;1.21;0.59;0.24;7.78
5.20;338.53;19.34;0.54;0.59;0.27;7.78
5.40;335.39;32.94;-0.15;0.59;0.30;7.78
5.60;333.23;46.54;3.28;0.59;0.32;7.78
5.80;333.07;83.14;10.92;0.61;0.35;7.78
6.00;329.05;123.10;15.29;1.25;0.38;7.78
6.20;325.04;163.06;20.31;1.89;0.40;7.78
6.40;321.02;203.02;20.07;2.49;0.44;7.78
6.60;319.16;266.19;26.28;3.70;0.48;7.77
6.80;319.34;330.95;30.89;5.10;0.52;5.78
7.00;319.52;395.70;35.33;5.99;0.56;5.84
7.20;320.35;460.46;40.26;5.79;0.60;6.38
7.40;322.99;525.21;40.50;7.50;0.64;6.03
7.60;323.12;589.96;44.32;9.69;0.68;4.65
7.80;323.24;654.72;45.94;11.16;0.72;4.14
8.00;323.54;719.47;48.95;11.81;0.76;3.92
8.20;324.13;776.96;45.25;11.27;0.80;4.13
8.40;325.22;834.26;47.43;11.74;0.84;4.03
8.60;327.46;891.55;52.11;12.47;0.88;4.14
8.80;326.45;948.84;50.65;13.21;0.92;3.95
9.00;323.73;1004.08;50.75;13.38;0.97;3.84
9.20;325.69;1054.97;49.70;13.09;1.01;3.80
9.40;327.66;1105.86;53.69;14.12;1.06;3.87
9.60;329.13;1156.76;51.29;13.65;1.10;3.80
9.80;326.85;1207.65;48.25;13.67;1.15;3.67
10.00;327.13;1258.54;50.16;14.88;1.19;3.23
10.20;328.89;1309.43;51.28;14.36;1.24;3.67
10.40;325.67;1358.96;46.10;14.82;1.28;3.50
10.60;325.26;1403.73;50.32;13.76;1.33;3.29
10.80;326.86;1448.50;52.40;13.27;1.37;3.95
11.00;325.05;1493.27;47.59;13.24;1.42;4.06
11.20;322.44;1523.83;42.99;14.09;1.46;3.47
11.40;319.88;1546.59;45.66;16.15;1.51;2.70
11.60;319.72;1569.12;41.70;14.90;1.55;2.87
11.80;319.55;1581.33;42.61;13.93;1.61;2.99
12.00;319.39;1611.38;45.33;14.32;1.67;3.16
12.20;319.23;1631.31;42.86;14.65;1.74;3.20
12.40;319.07;1647.84;41.70;14.94;1.81;2.70
12.60;318.90;1643.25;42.15;14.31;1.88;3.11
12.80;318.74;1653.02;44.48;14.65;1.94;3.39
13.00;318.58;1639.81;42.89;13.54;2.00;3.14
13.20;318.42;1621.50;40.28;14.46;2.03;2.77
13.40;318.25;1622.75;42.29;15.51;2.07;2.64
13.60;318.09;1596.53;42.72;15.61;2.10;2.62
13.80;317.93;1584.32;41.41;15.31;2.13;2.75
14.00;317.77;1556.30;40.04;15.75;2.16;2.67
14.20;317.61;1526.96;44.16;14.36;2.20;3.01
14.40;317.43;1521.26;42.10;15.65;2.19;2.94
14.60;317.13;1490.19;39.83;15.62;2.18;2.59
14.80;316.80;1438.11;41.60;16.34;2.16;2.50
15.00;315.99;1408.18;43.61;16.14;2.15;2.54
15.20;315.18;1346.79;38.31;16.14;2.14;2.52
15.40;314.36;1334.49;39.21;16.30;2.14;2.92
15.60;313.55;1264.28;37.09;16.53;2.13;2.32
15.80;312.86;1200.70;35.16;16.43;2.13;2.41
16.00;313.64;1148.69;37.79;15.54;2.12;2.49
16.20;314.42;1078.56;38.16;14.99;2.12;2.53
16.40;315.21;1052.54;38.00;13.56;2.09;2.71
16.60;312.27;975.50;34.37;11.92;2.04;2.91
16.80;311.22;898.46;33.73;12.76;1.98;2.84
17.00;311.64;821.43;35.67;11.93;1.93;2.66
17.20;312.06;744.39;34.90;10.76;1.88;3.21
17.40;312.47;667.35;32.19;9.16;1.81;3.46
17.60;312.89;594.95;30.68;7.98;1.74;3.78
17.80;313.31;532.46;27.97;7.44;1.66;3.97
18.00;313.72;469.17;23.89;6.69;1.58;3.34
18.20;314.14;403.90;19.77;5.22;1.51;3.83
18.40;314.56;338.63;17.80;4.04;1.43;4.05
18.60;314.97;272.80;15.17;2.96;1.36;4.86
18.80;315.58;152.13;7.02;0.31;1.29;4.95
19.00;316.49;115.87;2.86;0.31;1.22;4.95
19.20;317.41;79.92;2.04;0.31;1.16;4.95
19.40;318.32;54.79;-0.63;0.31;1.09;4.95
19.60;319.73;31.59;-0.08;0.31;1.02;4.95
19.80;321.25;12.92;0.01;0.31;0.95;4.95
20.00;322.51;3.12;0.01;0.31;0.88;4.95
