# This file has been generated by fmt_fig4.py
#
#
# mod: shape of plant
# solar_time: [h] time of the day
# co2: [µl.l-1] inlet CO2 concentration
# tva: [µmol CO2.m-2.s-1] total vine carbon assimilation
# par: [µmol photon.m-2.s-1] irradiance
#
mod;solar_time;co2;par;tva
natural;3.00;462.79;0.00;0.00
natural;3.10;462.79;0.00;0.00
natural;3.20;462.79;0.00;0.00
natural;3.30;473.63;0.00;0.00
natural;3.40;489.79;0.00;0.00
natural;3.50;505.96;0.00;0.00
natural;3.60;522.12;0.00;0.00
natural;3.70;538.28;0.00;0.00
natural;3.80;524.93;0.00;0.00
natural;3.90;505.53;0.00;0.00
natural;4.00;486.13;0.00;0.00
natural;4.10;466.74;0.00;0.00
natural;4.20;479.66;0.00;0.00
natural;4.30;500.85;0.00;0.00
natural;4.40;522.04;0.00;0.00
natural;4.50;543.23;0.00;0.00
natural;4.60;540.87;0.00;0.00
natural;4.70;520.06;0.00;0.00
natural;4.80;499.25;0.00;0.00
natural;4.90;481.25;0.00;0.00
natural;5.00;481.64;0.00;0.01
natural;5.10;482.03;2.95;0.01
natural;5.20;482.43;11.51;0.02
natural;5.30;482.82;20.06;0.02
natural;5.40;483.21;28.62;0.03
natural;5.50;478.55;37.18;0.03
natural;5.60;461.05;45.73;0.04
natural;5.70;443.56;43.19;0.05
natural;5.80;431.61;35.16;0.55
natural;5.90;435.63;27.13;1.64
natural;6.00;439.66;19.10;1.89
natural;6.10;443.69;11.07;1.10
natural;6.20;438.42;17.61;0.35
natural;6.30;431.24;74.66;1.51
natural;6.40;424.05;131.71;2.66
natural;6.50;416.87;188.75;3.82
natural;6.60;409.69;187.66;4.98
natural;6.70;405.31;171.59;5.22
natural;6.80;405.46;155.51;5.18
natural;6.90;405.61;139.43;4.68
natural;7.00;405.76;128.43;4.18
natural;7.10;405.90;147.87;4.64
natural;7.20;406.05;236.68;6.88
natural;7.30;406.20;221.47;7.15
natural;7.40;406.35;206.25;7.29
natural;7.50;406.50;398.33;8.74
natural;7.60;406.65;392.04;9.28
natural;7.70;406.79;475.27;9.82
natural;7.80;406.94;660.04;10.28
natural;7.90;407.09;459.56;9.94
natural;8.00;407.24;393.08;9.60
natural;8.10;407.39;345.16;9.79
natural;8.20;407.53;397.49;10.06
natural;8.30;405.87;504.88;10.48
natural;8.40;403.89;574.52;10.91
natural;8.50;401.91;587.83;11.22
natural;8.60;399.93;601.14;11.52
natural;8.70;397.95;614.45;11.83
natural;8.80;395.97;699.51;12.14
natural;8.90;393.99;801.32;12.45
natural;9.00;392.01;869.99;12.35
natural;9.10;390.03;796.20;11.58
natural;9.20;388.05;722.42;10.82
natural;9.30;386.08;671.88;10.06
natural;9.40;384.10;740.33;9.49
natural;9.50;382.12;762.09;9.95
natural;9.60;380.14;745.61;10.42
natural;9.70;378.16;802.70;10.93
natural;9.80;376.18;886.37;11.44
natural;9.90;374.20;843.00;11.43
natural;10.00;372.22;809.97;11.22
natural;10.10;370.24;961.72;11.52
natural;10.20;368.36;1120.97;11.87
natural;10.30;367.55;1358.67;12.22
natural;10.40;366.73;1477.95;12.32
natural;10.50;365.92;1547.96;11.78
natural;10.60;365.10;1526.66;11.23
natural;10.70;364.29;1505.36;10.69
natural;10.80;363.47;1492.89;10.35
natural;10.90;362.66;1508.62;10.68
natural;11.00;361.84;1524.36;11.01
natural;11.10;361.03;1540.10;11.34
natural;11.20;360.21;1555.84;11.67
natural;11.30;359.40;1571.57;11.99
natural;11.40;358.58;1570.40;11.73
natural;11.50;357.77;1542.69;11.70
natural;11.60;356.95;1562.97;12.15
natural;11.70;356.14;1584.37;12.28
natural;11.80;355.32;1605.76;11.86
natural;11.90;354.51;1649.62;11.44
natural;12.00;353.69;1431.84;11.02
natural;12.10;352.88;1497.07;10.92
natural;12.20;352.06;1497.51;11.11
natural;12.30;351.25;1616.02;11.15
natural;12.40;350.43;1608.18;10.89
natural;12.50;349.62;1630.04;10.62
natural;12.60;348.80;1637.74;10.39
natural;12.70;347.99;1623.53;10.50
natural;12.80;347.17;1643.31;10.60
natural;12.90;346.36;1663.08;10.35
natural;13.00;345.54;1626.99;10.46
natural;13.10;344.73;1426.69;10.56
natural;13.20;343.91;1401.20;10.63
natural;13.30;343.10;1599.44;10.49
natural;13.40;342.28;1600.85;10.10
natural;13.50;341.47;1560.54;9.72
natural;13.60;340.65;1520.22;9.72
natural;13.70;339.84;1573.42;10.30
natural;13.80;339.02;1604.15;10.87
natural;13.90;338.21;1562.51;10.76
natural;14.00;337.39;1520.86;10.46
natural;14.10;336.58;1479.22;10.15
natural;14.20;336.33;1455.01;9.97
natural;14.30;336.53;1462.62;10.43
natural;14.40;336.73;1470.22;10.77
natural;14.50;336.94;1436.52;10.35
natural;14.60;337.14;1399.89;9.93
natural;14.70;337.34;1363.26;9.59
natural;14.80;337.54;1325.55;9.87
natural;14.90;337.74;1278.28;10.15
natural;15.00;337.95;1231.01;10.44
natural;15.10;338.15;1276.17;10.72
natural;15.20;338.35;1265.37;10.78
natural;15.30;338.55;1212.13;10.23
natural;15.40;338.75;1158.88;10.26
natural;15.50;338.96;1070.36;10.60
natural;15.60;339.16;1047.10;10.94
natural;15.70;339.36;1122.40;10.92
natural;15.80;339.56;1134.63;10.83
natural;15.90;339.76;1093.04;10.74
natural;16.00;339.97;993.20;10.55
natural;16.10;340.17;970.54;10.21
natural;16.20;340.37;1000.01;10.81
natural;16.30;340.57;1013.64;11.00
natural;16.40;340.77;953.34;10.70
natural;16.50;340.82;816.98;10.51
natural;16.60;340.82;788.02;10.50
natural;16.70;340.82;759.05;10.49
natural;16.80;340.82;410.75;10.48
natural;16.90;340.82;520.28;10.47
natural;17.00;340.82;608.94;10.46
natural;17.10;340.82;540.48;10.44
natural;17.20;340.82;472.02;10.43
natural;17.30;340.82;403.56;10.42
natural;17.40;340.82;455.15;10.22
natural;17.50;340.82;330.74;9.61
natural;17.60;340.82;394.13;9.83
natural;17.70;340.82;413.67;9.95
natural;17.80;340.82;382.03;9.77
natural;17.90;340.82;350.40;9.58
natural;18.00;340.82;318.76;9.40
natural;18.10;340.82;286.63;9.21
natural;18.20;340.82;234.47;8.92
natural;18.30;340.82;205.21;8.55
natural;18.40;340.82;190.44;8.18
natural;18.50;340.82;175.68;8.11
natural;18.60;340.82;164.32;8.04
natural;18.70;340.82;168.13;7.73
natural;18.80;340.82;163.99;7.25
natural;18.90;340.82;146.24;6.76
natural;19.00;340.82;128.49;6.28
natural;19.10;340.82;110.74;5.80
natural;19.20;340.82;93.00;5.12
natural;19.30;340.82;75.25;4.27
natural;19.40;342.02;62.88;3.48
natural;19.50;352.34;50.96;3.21
natural;19.60;362.66;39.04;2.94
natural;19.70;372.99;27.12;2.67
natural;19.80;383.31;17.92;1.87
