# This file has been generated by fmt_fig4.py
#
#
# mod: shape of plant
# solar_time: [h] time of the day
# co2: [µl.l-1] inlet CO2 concentration
# tva: [µmol CO2.m-2.s-1] total vine carbon assimilation
# par: [µmol photon.m-2.s-1] irradiance
#
mod;solar_time;co2;par;tva
natural;19.90;375.75;12.65;1.14
natural;20.00;369.60;7.38;1.26
natural;20.10;373.97;2.11;1.38
natural;20.20;378.34;0.00;1.49
natural;20.30;382.71;0.00;1.61
natural;20.40;387.08;0.00;1.45
natural;20.50;391.45;0.00;0.38
natural;20.60;395.82;0.00;0.17
natural;20.70;400.19;0.00;0.16
natural;20.80;404.56;0.00;0.14
natural;20.90;408.93;0.00;0.13
restricted;3.00;583.38;3.20;0.01
restricted;3.10;589.65;3.34;0.01
restricted;3.20;528.84;3.49;0.02
restricted;3.30;468.03;3.63;0.02
restricted;3.40;498.93;3.77;0.02
restricted;3.50;545.37;3.91;0.03
restricted;3.60;535.93;4.05;0.03
restricted;3.70;537.99;4.20;0.03
restricted;3.80;548.30;4.34;0.04
restricted;3.90;529.66;4.48;0.04
restricted;4.00;511.03;4.62;0.04
restricted;4.10;555.04;4.76;0.05
restricted;4.20;614.44;4.91;0.05
restricted;4.30;580.73;5.05;0.57
restricted;4.40;578.90;5.19;0.42
restricted;4.50;612.61;5.33;0.27
restricted;4.60;603.15;5.47;0.32
restricted;4.70;596.12;8.83;1.05
restricted;4.80;603.67;17.70;1.63
restricted;4.90;598.47;26.57;0.98
restricted;5.00;571.81;35.44;0.34
restricted;5.10;545.16;44.32;1.42
restricted;5.20;518.50;53.19;2.53
restricted;5.30;513.72;62.06;3.65
restricted;5.40;523.31;70.93;3.40
restricted;5.50;532.90;79.80;2.77
restricted;5.60;542.49;88.67;2.69
restricted;5.70;552.08;100.98;3.29
restricted;5.80;561.67;118.66;3.20
restricted;5.90;554.11;136.34;2.86
restricted;6.00;535.88;154.03;4.50
restricted;6.10;517.65;171.71;4.40
restricted;6.20;499.42;189.39;4.34
restricted;6.30;481.19;207.07;5.00
restricted;6.40;462.96;224.75;5.66
restricted;6.50;446.73;252.83;6.32
restricted;6.60;439.25;295.98;6.98
restricted;6.70;431.76;339.14;7.57
restricted;6.80;424.28;362.08;7.79
restricted;6.90;416.79;384.38;8.02
restricted;7.00;409.30;406.67;8.24
restricted;7.10;401.82;428.51;8.36
restricted;7.20;394.33;459.04;8.48
restricted;7.30;386.85;492.46;8.60
restricted;7.40;379.36;525.88;9.40
restricted;7.50;371.87;559.29;9.62
restricted;7.60;366.86;592.71;9.47
restricted;7.70;367.07;626.13;9.39
restricted;7.80;367.27;659.55;9.62
restricted;7.90;367.48;692.97;9.85
restricted;8.00;367.69;726.39;10.03
restricted;8.10;367.90;739.74;10.00
restricted;8.20;368.10;742.98;9.97
restricted;8.30;368.31;761.46;9.94
restricted;8.40;368.52;798.75;9.91
restricted;8.50;368.73;836.05;9.59
restricted;8.60;368.93;873.35;9.55
restricted;8.70;369.14;910.65;10.01
restricted;8.80;368.12;947.95;8.64
restricted;8.90;366.77;985.24;9.12
restricted;9.00;365.42;1022.54;9.61
restricted;9.10;364.07;1049.53;9.96
restricted;9.20;362.72;1071.81;9.32
restricted;9.30;361.37;1094.09;8.75
restricted;9.40;360.03;1116.37;8.49
restricted;9.50;358.68;1138.65;8.23
restricted;9.60;357.33;1160.93;9.42
restricted;9.70;355.98;1183.22;9.30
restricted;9.80;354.63;1205.50;9.17
restricted;9.90;353.28;1227.78;9.05
restricted;10.00;351.93;1250.06;8.80
restricted;10.10;350.59;1271.41;8.45
restricted;10.20;350.05;1291.79;8.10
restricted;10.30;350.05;1312.17;7.76
restricted;10.40;350.05;1332.55;7.41
restricted;10.50;350.05;1355.53;7.07
restricted;10.60;350.05;1381.15;7.60
restricted;10.70;350.05;1397.62;8.08
restricted;10.80;350.05;1410.57;7.76
restricted;10.90;350.05;1421.07;7.81
restricted;11.00;350.05;1429.16;7.85
restricted;11.10;350.05;1437.25;7.90
restricted;11.20;350.05;1455.01;7.95
restricted;11.30;350.05;1474.57;7.81
restricted;11.40;350.05;1494.12;7.42
restricted;11.50;350.05;1506.91;7.02
restricted;11.60;350.05;1503.59;7.19
restricted;11.70;350.05;1500.27;7.17
restricted;11.80;350.05;1501.07;7.03
restricted;11.90;350.05;1507.71;6.99
restricted;12.00;350.05;1514.35;7.31
restricted;12.10;350.05;1519.22;7.63
restricted;12.20;350.05;1522.54;7.82
restricted;12.30;350.05;1525.86;8.00
restricted;12.40;350.05;1530.92;7.65
restricted;12.50;349.68;1536.91;7.41
restricted;12.60;348.99;1530.35;7.71
restricted;12.70;348.30;1517.11;7.78
restricted;12.80;347.62;1503.87;7.43
restricted;12.90;346.93;1490.63;7.07
restricted;13.00;346.24;1477.39;6.88
restricted;13.10;345.56;1475.92;7.53
restricted;13.20;344.87;1477.88;7.55
restricted;13.30;344.18;1476.36;7.29
restricted;13.40;343.50;1467.91;7.02
restricted;13.50;342.81;1459.47;7.23
restricted;13.60;342.12;1451.03;7.96
restricted;13.70;341.44;1442.58;7.89
restricted;13.80;340.75;1428.83;7.62
restricted;13.90;340.06;1397.81;7.34
restricted;14.00;339.38;1376.13;7.57
restricted;14.10;338.69;1365.34;8.15
restricted;14.20;338.00;1354.55;7.97
restricted;14.30;337.32;1343.76;7.68
restricted;14.40;336.63;1317.75;7.51
restricted;14.50;335.94;1274.60;7.54
restricted;14.60;335.26;1245.63;7.57
restricted;14.70;334.57;1222.86;7.60
restricted;14.80;333.89;1193.68;7.63
restricted;14.90;333.29;1161.76;7.66
restricted;15.00;333.21;1129.84;7.95
restricted;15.10;333.14;1097.93;8.10
restricted;15.20;333.06;1066.01;7.94
restricted;15.30;332.99;1042.10;7.78
restricted;15.40;332.91;1031.31;7.85
restricted;15.50;332.84;968.40;7.40
restricted;15.60;332.76;873.42;7.24
restricted;15.70;332.69;915.03;7.35
restricted;15.80;332.61;916.83;7.33
restricted;15.90;332.53;903.35;7.13
restricted;16.00;332.46;877.45;7.46
restricted;16.10;332.38;663.02;7.68
restricted;16.20;332.31;528.34;6.78
restricted;16.30;332.23;568.42;6.34
restricted;16.40;332.16;505.49;6.64
restricted;16.50;332.08;589.84;6.93
restricted;16.60;332.01;666.81;7.05
restricted;16.70;331.93;501.15;7.13
restricted;16.80;331.86;576.17;6.96
restricted;16.90;331.78;561.78;6.69
restricted;17.00;331.70;547.40;6.48
restricted;17.10;331.63;533.01;6.59
restricted;17.20;331.55;486.12;6.70
restricted;17.30;331.48;428.58;6.81
restricted;17.40;331.40;393.95;6.17
restricted;17.50;331.33;366.64;5.51
restricted;17.60;331.25;339.33;4.85
restricted;17.70;331.18;312.02;4.19
restricted;17.80;331.10;284.71;4.25
restricted;17.90;331.03;257.40;4.61
restricted;18.00;330.95;230.09;4.97
restricted;18.10;331.32;216.62;4.43
restricted;18.20;332.26;210.22;3.83
restricted;18.30;333.20;203.81;3.23
restricted;18.40;334.14;197.41;2.65
restricted;18.50;335.07;191.00;3.25
restricted;18.60;336.01;184.59;3.00
restricted;18.70;336.95;178.19;2.75
restricted;18.80;337.89;164.45;2.50
restricted;18.90;338.83;145.11;2.25
restricted;19.00;339.76;125.76;2.00
restricted;19.10;340.70;106.42;1.74
restricted;19.20;341.64;87.07;1.34
restricted;19.30;342.58;67.73;0.95
restricted;19.40;343.52;49.62;0.56
restricted;19.50;344.46;39.37;0.37
restricted;19.60;345.69;29.12;0.28
restricted;19.70;348.74;18.87;0.18
restricted;19.80;351.79;8.62;0.09
restricted;19.90;354.84;5.00;0.04
restricted;20.00;357.89;4.20;0.03
restricted;20.10;360.94;3.40;0.02
restricted;20.20;363.98;2.60;0.01
restricted;20.30;367.03;1.81;0.01
restricted;20.40;370.08;1.01;0.00
restricted;20.50;373.13;0.78;0.00
restricted;20.60;376.18;0.78;0.00
restricted;20.70;380.87;0.78;0.00
restricted;20.80;385.67;0.78;0.00
restricted;20.90;385.93;0.78;0.00
