# This file has been generated by fmt_fig5.py
#
#
# mod: before or after canopy restriction
# solar_time: [h] time of the day
# co2: [µl.l-1] inlet CO2 concentration
# tva: [µmol CO2.m-2.s-1] total vine carbon assimilation
# par: [µmol photon.m-2.s-1] irradiance
#
mod;solar_time;co2;par;tva
bef;6.00;314.42;111.23;9.92
bef;6.10;317.84;111.23;10.53
bef;6.20;323.84;130.41;14.71
bef;6.30;329.85;159.32;20.14
bef;6.40;335.86;188.22;25.75
bef;6.50;341.87;217.13;31.36
bef;6.60;346.86;246.04;36.96
bef;6.70;345.63;274.95;35.66
bef;6.80;344.41;303.85;38.56
bef;6.90;343.18;332.76;44.21
bef;7.00;341.95;362.01;44.93
bef;7.10;340.72;393.08;45.64
bef;7.20;339.49;424.14;53.58
bef;7.30;338.26;455.21;58.80
bef;7.40;337.03;486.27;56.15
bef;7.50;335.81;517.34;53.49
bef;7.60;334.58;548.40;52.69
bef;7.70;333.35;579.46;55.86
bef;7.80;332.12;610.53;59.02
bef;7.90;330.89;641.59;62.18
bef;8.00;329.66;672.66;64.22
bef;8.10;329.57;703.72;60.39
bef;8.20;329.67;734.79;56.56
bef;8.30;329.78;765.85;54.19
bef;8.40;329.89;796.92;55.87
bef;8.50;330.00;827.98;57.54
bef;8.60;330.10;859.05;59.21
bef;8.70;330.21;890.11;60.88
bef;8.80;330.32;921.18;62.46
bef;8.90;330.43;952.24;60.15
bef;9.00;330.54;981.89;61.98
bef;9.10;330.64;1010.65;64.95
bef;9.20;330.75;1039.41;63.64
bef;9.30;330.86;1068.17;62.77
bef;9.40;330.97;1096.93;64.60
bef;9.50;331.08;1125.70;63.37
bef;9.60;331.18;1154.46;61.69
bef;9.70;331.29;1183.22;61.64
bef;9.80;331.40;1211.98;64.73
bef;9.90;331.51;1240.74;62.04
bef;10.00;331.62;1269.51;58.65
bef;10.10;331.72;1298.27;59.61
bef;10.20;331.83;1320.76;60.58
bef;10.30;331.94;1336.83;60.73
bef;10.40;332.05;1352.89;57.52
bef;10.50;332.15;1368.96;57.54
bef;10.60;332.26;1385.03;58.64
bef;10.70;332.37;1401.10;59.17
bef;10.80;332.48;1417.17;58.61
bef;10.90;332.59;1433.24;55.99
bef;11.00;332.69;1453.47;57.28
bef;11.10;332.80;1477.35;60.12
bef;11.20;332.91;1501.22;58.81
bef;11.30;333.02;1521.48;57.51
bef;11.40;333.13;1532.22;56.92
