# This file has been generated by fmt_fig5.py
#
#
# mod: before or after canopy restriction
# solar_time: [h] time of the day
# co2: [µl.l-1] inlet CO2 concentration
# tva: [µmol CO2.m-2.s-1] total vine carbon assimilation
# par: [µmol photon.m-2.s-1] irradiance
#
mod;solar_time;co2;par;tva
bef;11.50;333.23;1542.97;56.43
bef;11.60;333.34;1553.71;55.94
bef;11.70;333.45;1564.45;55.34
bef;11.80;333.56;1575.20;58.06
bef;11.90;333.67;1585.94;56.57
bef;12.00;333.77;1596.61;53.95
bef;12.10;333.88;1605.32;56.30
bef;12.20;333.99;1614.04;58.65
bef;12.30;334.10;1622.75;60.21
bef;12.40;334.20;1631.47;56.11
bef;12.50;334.31;1640.18;52.01
bef;12.60;334.42;1648.90;51.20
bef;12.70;334.39;1642.23;50.55
bef;12.80;334.09;1629.14;52.96
bef;12.90;333.79;1616.04;54.38
bef;13.00;333.49;1611.76;53.56
bef;13.10;333.19;1618.33;52.75
bef;13.20;332.89;1624.90;53.73
bef;13.30;332.59;1631.30;55.16
bef;13.40;332.29;1622.06;55.50
bef;13.50;331.99;1612.81;54.53
bef;13.60;331.69;1603.57;53.49
bef;13.70;331.39;1594.33;52.37
bef;13.80;331.09;1596.81;51.25
bef;13.90;330.79;1605.13;53.45
bef;14.00;330.49;1557.22;52.86
bef;14.10;330.19;1523.19;50.18
bef;14.20;329.89;1522.38;47.24
bef;14.30;329.59;1521.56;46.76
bef;14.40;329.29;1500.13;46.29
bef;14.50;328.99;1437.74;49.55
bef;14.60;328.69;1457.78;51.63
bef;14.70;328.39;1483.74;51.07
bef;14.80;328.09;1456.01;49.03
bef;14.90;327.79;1417.72;46.39
bef;15.00;327.49;1412.52;44.61
bef;15.10;327.19;1391.50;46.88
bef;15.20;326.89;1361.58;48.15
bef;15.30;326.59;1331.67;45.12
bef;15.40;326.29;1306.11;42.20
bef;15.50;326.00;1297.80;45.11
bef;15.60;325.70;1275.32;47.87
bef;15.70;325.40;1230.96;45.15
bef;15.80;325.10;1203.02;42.56
bef;15.90;324.80;1186.80;43.16
bef;16.00;324.50;1154.60;43.76
bef;16.10;324.28;1121.31;44.36
bef;16.20;324.09;1089.27;43.69
bef;16.30;323.89;1069.86;42.18
bef;16.40;323.69;1050.46;41.57
bef;16.50;323.49;948.10;40.98
bef;16.60;323.29;843.96;40.39
bef;16.70;323.09;739.81;39.80
bef;16.80;322.89;663.02;40.03
bef;16.90;322.69;711.54;40.44
bef;17.00;322.49;742.04;40.84
bef;17.10;322.29;726.01;41.22
bef;17.20;322.10;625.53;40.25
bef;17.30;321.90;499.93;39.28
bef;17.40;321.70;463.23;38.21
bef;17.50;321.50;426.52;34.78
bef;17.60;321.30;389.82;31.21
bef;17.70;321.10;353.11;27.65
bef;17.80;320.90;327.09;25.45
bef;17.90;320.70;310.03;23.46
bef;18.00;320.50;265.86;21.47
bef;18.10;320.30;214.03;19.48
bef;18.20;320.11;197.01;17.49
bef;18.30;319.91;192.39;15.49
bef;18.40;319.71;205.95;16.15
bef;18.50;319.51;209.87;17.81
bef;18.60;319.31;186.54;19.47
bef;18.70;319.11;170.17;19.78
bef;18.80;318.91;163.97;18.54
bef;18.90;318.71;157.78;17.31
bef;19.00;318.51;151.58;14.45
bef;19.10;318.31;136.54;11.07
bef;19.20;318.12;114.60;8.70
bef;19.30;317.92;92.66;6.81
bef;19.40;317.72;70.72;4.93
bef;19.50;317.52;48.78;2.63
bef;19.60;317.32;36.96;0.24
bef;19.70;317.12;26.23;-2.15
bef;19.80;316.93;15.50;-4.54
bef;19.90;316.93;4.77;-5.76
aft;6.00;343.27;74.86;9.01
aft;6.10;343.27;74.86;11.58
aft;6.20;344.11;96.20;15.92
aft;6.30;345.56;121.34;20.26
aft;6.40;347.01;145.70;22.09
aft;6.50;348.46;156.63;22.89
aft;6.60;349.91;167.57;23.69
aft;6.70;351.36;211.03;36.47
aft;6.80;352.81;265.69;34.47
aft;6.90;354.26;305.50;33.55
aft;7.00;355.71;345.31;39.89
aft;7.10;357.16;385.12;46.22
aft;7.20;358.61;345.57;45.66
aft;7.30;360.06;323.99;43.24
aft;7.40;361.51;388.13;40.83
aft;7.50;359.62;389.67;37.70
aft;7.60;355.52;264.41;33.34
aft;7.70;351.41;406.42;35.56
aft;7.80;347.31;635.09;48.13
aft;7.90;343.20;615.60;60.71
aft;8.00;339.10;596.12;58.65
aft;8.10;335.00;540.81;51.62
aft;8.20;333.24;669.38;56.91
aft;8.30;333.24;775.76;56.26
aft;8.40;333.24;803.25;55.55
aft;8.50;333.24;830.75;54.83
aft;8.60;333.24;858.24;54.11
aft;8.70;333.24;880.24;58.19
aft;8.80;333.24;897.25;61.08
aft;8.90;333.24;914.26;57.02
aft;9.00;333.24;937.49;54.62
aft;9.10;333.24;976.72;53.29
aft;9.20;333.92;1015.94;52.14
aft;9.30;337.21;961.10;52.97
aft;9.40;340.50;693.19;53.80
aft;9.50;343.79;573.17;54.63
aft;9.60;347.08;598.81;55.46
aft;9.70;349.03;867.95;56.28
aft;9.80;346.99;1151.64;56.34
aft;9.90;344.96;858.68;54.78
aft;10.00;342.92;683.74;53.23
aft;10.10;340.88;817.23;51.86
aft;10.20;338.85;905.45;52.44
aft;10.30;336.81;885.04;53.02
aft;10.40;334.77;990.87;53.60
aft;10.50;334.33;1104.43;53.19
aft;10.60;334.14;1263.79;50.52
aft;10.70;333.95;1398.71;48.72
aft;10.80;333.76;1437.41;48.72
aft;10.90;333.56;1453.79;52.92
aft;11.00;333.37;1481.82;54.98
aft;11.10;333.18;1514.29;53.71
aft;11.20;332.99;1546.76;52.43
aft;11.30;332.80;1579.24;52.24
aft;11.40;332.61;1551.81;49.29
aft;11.50;332.42;1494.68;45.15
aft;11.60;332.23;1547.82;46.11
aft;11.70;332.04;1606.02;47.06
aft;11.80;331.83;1672.17;55.71
aft;11.90;331.61;1459.78;55.13
aft;12.00;331.39;1238.55;52.91
aft;12.10;331.17;927.53;43.42
aft;12.20;330.96;627.79;34.28
aft;12.30;330.74;990.05;39.58
aft;12.40;330.52;1352.32;44.89
aft;12.50;330.30;1714.58;50.20
aft;12.60;330.08;1707.71;49.75
aft;12.70;329.87;1671.46;49.08
aft;12.80;329.65;1624.64;48.23
aft;12.90;329.43;1624.21;45.45
aft;13.00;329.21;1665.23;45.04
aft;13.10;328.99;1706.25;47.40
aft;13.20;328.77;1731.63;49.76
aft;13.30;328.56;1617.09;49.60
aft;13.40;328.34;1308.38;45.69
aft;13.50;328.12;1025.58;44.07
aft;13.60;327.90;1376.61;45.57
aft;13.70;327.68;1384.79;44.27
aft;13.80;327.46;913.82;41.25
aft;13.90;327.25;576.86;38.68
aft;14.00;327.03;922.68;40.15
aft;14.10;326.81;1268.51;41.62
aft;14.20;326.59;1542.37;43.09
aft;14.30;326.37;1509.53;43.69
aft;14.40;326.16;1476.68;43.43
aft;14.50;325.94;1509.62;41.44
aft;14.60;325.72;1517.65;39.37
aft;14.70;325.50;1428.14;39.21
aft;14.80;325.28;1403.40;39.87
aft;14.90;325.06;1383.06;40.70
aft;15.00;324.85;1368.52;40.47
aft;15.10;324.63;1353.99;39.70
aft;15.20;324.41;1339.45;39.71
aft;15.30;324.19;1317.76;40.52
aft;15.40;323.97;1284.17;41.32
aft;15.50;323.76;1250.57;39.22
aft;15.60;323.54;1203.69;37.57
aft;15.70;323.32;1152.66;39.90
aft;15.80;323.10;1129.50;39.79
aft;15.90;322.88;1126.28;38.92
aft;16.00;322.66;1125.25;36.78
aft;16.10;322.45;1104.60;35.55
aft;16.20;322.23;1059.46;34.76
aft;16.30;322.01;1014.32;36.92
aft;16.40;321.79;969.63;39.47
aft;16.50;321.57;928.53;40.45
aft;16.60;321.35;887.42;38.60
aft;16.70;321.14;846.31;37.11
aft;16.80;320.92;809.58;37.05
aft;16.90;320.70;787.04;36.99
aft;17.00;320.82;753.16;36.93
aft;17.10;320.95;709.60;36.87
aft;17.20;321.08;700.32;33.24
aft;17.30;321.21;691.04;30.97
aft;17.40;321.34;651.36;31.06
aft;17.50;321.47;605.36;32.77
aft;17.60;321.60;559.35;34.10
aft;17.70;321.73;519.08;33.83
aft;17.80;321.86;482.89;30.63
aft;17.90;321.99;446.71;26.93
aft;18.00;322.12;410.52;26.00
aft;18.10;322.24;370.38;25.06
aft;18.20;322.37;326.71;21.60
aft;18.30;322.50;283.04;17.50
aft;18.40;322.63;229.31;13.40
aft;18.50;322.76;190.18;9.30
aft;18.60;322.89;159.32;8.63
aft;18.70;323.02;137.74;8.63
aft;18.80;323.15;122.90;7.51
aft;18.90;324.03;108.05;3.97
aft;19.00;325.41;93.21;0.43
aft;19.10;326.79;76.88;0.64
aft;19.20;328.16;59.22;-0.32
aft;19.30;329.54;43.17;-2.22
aft;19.40;330.92;34.43;0.29
aft;19.50;332.30;25.70;2.05
aft;19.60;333.68;16.96;2.05
aft;19.70;335.06;10.52;2.05
aft;19.80;336.44;9.29;2.05
aft;19.90;337.00;8.06;2.05
