,starts_today,reference,start,stop,template
0,1,2,1,1,en ce milieu de nuit
1,1,2,1,4,cette nuit
2,1,2,1,7,cette nuit jusqu'en début de matinée
3,1,2,1,10,cette nuit jusqu'à ce matin
4,1,2,1,13,de cette nuit jusqu'en début d'après-midi
5,1,2,1,16,de cette nuit à cet après-midi
6,1,2,1,19,de cette nuit au début de soirée
7,1,2,1,22,de cette nuit à ce soir
8,1,2,1,25,de cette nuit au début de nuit suivante
9,1,2,4,4,cette nuit
10,1,2,4,7,cette nuit jusqu'en début de matinée
11,1,2,4,10,cette nuit jusqu'à ce matin
12,1,2,4,13,de cette nuit jusqu'en début d'après-midi
13,1,2,4,16,de cette nuit à cet après-midi
14,1,2,4,19,de cette nuit au début de soirée
15,1,2,4,22,de cette nuit à ce soir
16,1,2,4,25,de cette nuit au début de nuit suivante
17,1,2,4,28,de cette nuit au milieu de nuit suivante
18,1,2,7,7,aujourd'hui au lever du jour
19,1,2,7,10,ce matin
20,1,2,7,13,en première partie de journée aujourd'hui
21,1,2,7,16,en cours de journée aujourd'hui
22,1,2,7,19,en journée aujourd'hui
23,1,2,7,22,aujourd'hui jusqu'en soirée
24,1,2,7,25,aujourd'hui jusqu'en première partie de nuit prochaine
25,1,2,7,28,aujourd'hui jusqu'en deuxième partie de nuit prochaine
26,1,2,7,31,aujourd'hui et jusqu'en fin de nuit prochaine
27,1,2,10,10,en milieu de matinée aujourd'hui
28,1,2,10,13,en fin de matinée aujourd'hui
29,1,2,10,16,en cours de journée aujourd'hui
30,1,2,10,19,de cette fin de matinée au début de soirée
31,1,2,10,22,de cette fin de matinée au début de nuit prochaine
32,1,2,10,25,de cette fin de matinée à la première partie de nuit prochaine
33,1,2,10,28,de cette fin de matinée au milieu de nuit prochaine
34,1,2,10,31,de cette fin de matinée au petit matin demain
35,1,2,10,34,de cette fin de matinée à demain matin
36,1,2,13,13,aujourd'hui en milieu de journée
37,1,2,13,16,cet après-midi
38,1,2,13,19,aujourd'hui en deuxième partie de journée
39,1,2,13,22,cet après-midi jusqu'en soirée
40,1,2,13,25,du milieu de journée au début de nuit prochaine
41,1,2,13,28,du milieu de journée au milieu de nuit prochaine
42,1,2,13,31,du milieu de journée à la fin de nuit prochaine
43,1,2,13,34,du milieu de journée à demain en début de matinée
44,1,2,13,37,du milieu de journée à demain midi
45,1,2,16,16,cet après-midi
46,1,2,16,19,cet après-midi
47,1,2,16,22,cet après-midi et ce soir
48,1,2,16,25,cet après-midi et en première partie de nuit prochaine
49,1,2,16,28,de cet après-midi au milieu de nuit prochaine
50,1,2,16,31,de cet après-midi au petit matin demain
51,1,2,16,34,de cet après-midi à demain matin
52,1,2,16,37,de cet après-midi à demain à la mi-journée
53,1,2,16,40,de cet après-midi à demain après-midi
54,1,2,19,19,en fin de journée aujourd'hui
55,1,2,19,22,ce soir
56,1,2,19,25,en fin de journée et première partie de nuit prochaine
57,1,2,19,28,de ce soir jusqu'au milieu de nuit prochaine
58,1,2,19,31,de ce soir à la fin de nuit prochaine
59,1,2,19,34,de ce soir à demain matin
60,1,2,19,37,de ce soir à demain en milieu de journée
61,1,2,19,40,de ce soir à demain après-midi
62,1,2,19,43,de ce soir à demain en début de soirée
63,1,2,22,22,en début de nuit prochaine
64,1,2,22,25,en première partie de nuit prochaine
65,1,2,22,28,la nuit prochaine
66,1,2,22,31,la nuit prochaine jusqu'au petit matin demain
67,1,2,22,34,la nuit prochaine jusqu'en début de journée demain
68,1,2,22,37,la nuit prochaine jusqu'en milieu de journée demain
69,1,2,22,40,la nuit prochaine jusqu'à demain après-midi
70,1,2,22,43,la nuit prochaine jusqu'en début de soirée demain
71,1,2,22,46,la nuit prochaine jusqu'en première partie de nuit demain
72,1,2,25,25,en milieu de nuit prochaine
73,1,2,25,28,en deuxième partie de nuit prochaine
74,1,2,25,31,en deuxième partie de nuit prochaine
75,1,2,25,34,du milieu de nuit prochaine à demain en début de matinée
76,1,2,25,37,du milieu de nuit prochaine à demain en mi-journée
77,1,2,25,40,du milieu de nuit prochaine à demain en cours d'après-midi
78,1,2,25,43,du milieu de nuit prochaine à demain en fin de journée
79,1,2,25,46,du milieu de nuit prochaine jusqu'au début de nuit de demain à {day_p1}
80,1,2,25,49,du milieu de nuit prochaine jusqu'au milieu de nuit de demain à {day_p1}
81,1,2,28,28,en deuxième partie de nuit prochaine
82,1,2,28,31,en fin de nuit prochaine
83,1,2,28,34,de la fin de nuit prochaine à demain en début de matinée
84,1,2,28,37,de la fin de nuit prochaine à demain en mi-journée
85,1,2,28,40,de la fin de nuit prochaine à demain en cours d'après-midi
86,1,2,28,43,de la fin de nuit prochaine à demain en fin de journée
87,1,2,28,46,de la fin de nuit prochaine jusqu'au début de nuit de demain à {day_p1}
88,1,2,28,49,de la fin de nuit prochaine jusqu'au milieu de nuit de demain à {day_p1}
89,1,2,28,52,de la fin de nuit prochaine jusqu'à la fin de nuit de demain à {day_p1}
90,1,2,31,31,demain au lever du jour
91,1,2,31,34,demain en matinée
92,1,2,31,37,demain matin
93,1,2,31,40,demain jusqu'en milieu d'après-midi
94,1,2,31,43,demain en journée
95,1,2,31,46,demain du début de journée jusqu'au début de nuit de demain à {day_p1}
96,1,2,31,49,demain du début de journée jusqu'en milieu de nuit de demain à {day_p1}
97,1,2,31,52,demain du début de journée jusqu'en fin de nuit de demain à {day_p1}
98,1,2,31,55,demain du début de journée jusqu'à {day_p1} au petit matin
99,1,10,1,1,en milieu de nuit passée
100,1,10,1,4,cette nuit passée
101,1,10,1,7,cette nuit jusqu'en début de matinée
102,1,10,1,10,cette nuit jusqu'à ce matin
103,1,10,1,13,de cette nuit au milieu de journée
104,1,10,1,16,de cette nuit à cet après-midi
105,1,10,1,19,de cette nuit au début de soirée
106,1,10,1,22,de cette nuit à ce soir
107,1,10,1,25,de cette nuit au début de nuit suivante
108,1,10,4,4,cette nuit
109,1,10,4,7,cette nuit jusqu'en début de matinée
110,1,10,4,10,cette nuit jusqu'à ce matin
111,1,10,4,13,de cette nuit jusqu'en début d'après-midi
112,1,10,4,16,de cette nuit à cet après-midi
113,1,10,4,19,de cette nuit au début de soirée
114,1,10,4,22,de cette nuit à ce soir
115,1,10,4,25,de cette nuit au début de nuit suivante
116,1,10,4,28,de cette nuit au milieu de nuit suivante
117,1,10,7,7,aujourd'hui au lever du jour
118,1,10,7,10,ce matin
119,1,10,7,13,en première partie de journée aujourd'hui
120,1,10,7,16,en cours de journée aujourd'hui
121,1,10,7,19,en journée aujourd'hui
122,1,10,7,22,aujourd'hui jusqu'en soirée
123,1,10,7,25,aujourd'hui jusqu'en première partie de nuit prochaine
124,1,10,7,28,aujourd'hui jusqu'en deuxième partie de nuit prochaine
125,1,10,7,31,aujourd'hui et jusqu'en fin de nuit prochaine
126,1,10,10,10,en milieu de matinée aujourd'hui
127,1,10,10,13,en fin de matinée aujourd'hui
128,1,10,10,16,en cours de journée aujourd'hui
129,1,10,10,19,en journée aujourd'hui
130,1,10,10,22,de cette fin de matinée au début de nuit prochaine
131,1,10,10,25,de cette fin de matinée à la première partie de nuit prochaine
132,1,10,10,28,de cette fin de matinée au milieu de nuit prochaine
133,1,10,10,31,de cette fin de matinée au petit matin demain
134,1,10,10,34,de cette fin de matinée à demain matin
135,1,10,13,13,aujourd'hui en milieu de journée
136,1,10,13,16,cet après-midi
137,1,10,13,19,cet après-midi jusqu'en début de soirée
138,1,10,13,22,cet après-midi jusqu'en soirée
139,1,10,13,25,du milieu de journée au début de nuit prochaine
140,1,10,13,28,du milieu de journée au milieu de nuit prochaine
141,1,10,13,31,du milieu de journée à la fin de nuit prochaine
142,1,10,13,34,du milieu de journée à demain en début de matinée
143,1,10,13,37,du milieu de journée à demain midi
144,1,10,16,16,aujourd'hui en milieu d'après-midi
145,1,10,16,19,cet après-midi
146,1,10,16,22,en fin de journée aujourd'hui
147,1,10,16,25,cet après-midi jusqu'en première partie de nuit prochaine
148,1,10,16,28,de cet après-midi au milieu de nuit prochaine
149,1,10,16,31,de cet après-midi au petit matin demain
150,1,10,16,34,de cet après-midi à demain matin
151,1,10,16,37,de cet après-midi à demain à la mi-journée
152,1,10,16,40,de cet après-midi à demain après-midi
153,1,10,19,19,aujourd'hui en début de soirée
154,1,10,19,22,ce soir
155,1,10,19,25,ce soir jusqu'en première partie de nuit prochaine
156,1,10,19,28,ce soir jusqu'au milieu de nuit prochaine
157,1,10,19,31,de ce soir à la fin de nuit prochaine
158,1,10,19,34,de ce soir à demain matin
159,1,10,19,37,de ce soir à demain en milieu de journée
160,1,10,19,40,de ce soir à demain après-midi
