# This file has been generated by fmt_net_photosynthesis.py
#
# co2: [µmol mol-1] CO2 concentration in the atmosphere
# temp: [°C] Leaf temperature during measurement
# ppfd: [µmolphoton m-2 s-1] Incident light
# photo_net: [µmolC m-2 s-1] Carbon assimilated by leaves
#
co2;temp;ppfd;photo_net
300;20;598.1;8.7
300;20;695.4;9.2
300;20;827.7;9.7
300;20;994.8;9.9
300;20;1192.0;10.0
300;20;1391.6;10.2
300;20;1588.7;10.2
300;20;1743.4;10.3
300;20;1987.5;10.2
300;22;298.7;5.5
300;22;393.5;7.3
300;22;702.9;8.8
300;22;1391.6;10.3
300;22;1591.2;10.6
300;22;1788.3;11.0
300;22;1985.4;11.2
300;24;0.8;-2.2
300;24;200.2;4.1
300;24;300.8;5.8
300;24;595.4;9.6
300;24;694.2;10.5
300;24;794.8;11.3
300;24;891.8;11.4
300;24;1590.5;11.7
300;24;1988.5;11.9
300;26;-2.7;-2.7
300;26;194.9;3.8
300;26;295.5;5.5
300;26;396.1;7.2
300;26;491.3;8.2
300;26;593.7;9.2
300;26;697.8;9.8
300;26;891.8;11.1
300;26;997.7;11.2
300;26;1193.5;11.4
300;26;1385.9;12.1
300;26;1590.5;12.2
300;26;1759.9;12.2
300;26;1976.9;12.3
300;28;2.8;-3.4
300;28;98.0;-1.0
300;28;295.7;4.8
300;28;392.7;6.2
300;28;498.6;7.7
300;28;694.4;9.5
300;28;795.0;10.5
300;28;1188.4;12.4
300;28;1386.0;12.5
300;28;1583.6;12.5
300;28;1733.6;12.7
300;28;1987.4;12.9
300;30;0.9;-1.5
300;30;200.3;4.6
300;30;285.0;7.7
300;30;397.9;9.3
300;30;495.0;10.4
300;30;588.5;11.1
300;30;692.6;11.2
300;30;794.9;11.5
300;30;927.2;11.6
300;30;999.6;11.7
300;30;1197.2;11.6
300;30;1393.0;11.8
300;30;1588.9;11.8
300;30;1788.2;11.9
300;30;1964.7;11.8
300;32;95.1;1.0
300;32;396.8;5.9
300;32;493.8;7.2
300;32;592.6;8.2
300;32;698.5;9.1
300;32;897.9;9.8
300;32;1190.7;10.4
300;32;1393.6;10.7
300;32;1589.5;10.9
300;32;1788.9;11.1
300;32;1991.6;10.9
300;34;-3.9;-1.3
300;34;94.9;0.6
300;34;202.6;2.1
300;34;299.6;3.9
300;34;405.5;5.2
300;34;495.5;6.0
300;34;587.2;6.9
300;34;698.4;7.6
300;34;793.6;7.8
300;34;894.2;8.3
300;34;994.8;8.5
300;34;1190.6;8.6
300;34;1393.5;8.8
300;34;1585.8;9.0
300;34;1783.4;9.1
300;34;1984.7;9.1
