# This file has been generated by fmt_net_photosynthesis_max.py
#
# co2: [µmol mol-1] CO2 concentration in the atmosphere
# temp: [°C] Leaf temperature during measurement
# amax: [µmolC m-2 s-1] Carbon assimilated by leaves at saturation
# ppfd_sat: [µmolphoton m-2 s-1] ppfd when assimilation saturate
#
co2;temp;amax;ppfd_sat
300;20;7.8;1252.8
300;22;8.3;1379.3
300;24;8.9;1441.1
300;26;9.1;1248.8
300;28;9.6;1134.9
300;30;8.9;1412.4
300;32;8.1;1462.2
300;34;6.7;726.9
400;20;9.5;1232.0
400;22;10.5;1584.9
400;24;10.9;1346.7
400;26;11.6;941.7
400;28;11.9;967.3
400;30;10.8;878.3
400;32;9.9;808.5
400;34;8.8;906.3
600;20;20.0;1285.5
600;22;20.0;1499.1
600;24;21.0;1625.5
600;26;22.8;1564.4
600;28;22.2;1501.6
600;30;21.2;1120.4
600;32;17.9;1037.7
600;34;15.5;1155.0
600;36;13.5;975.2
600;38;12.1;945.4
