# This file has been generated by fmt_tab2_arrhenius.py
# 
# XX_std: standard deviation for value in column XX
# 
# species: species being measured
# ea: [kJ.mol-1] activation energy for temp dependence
# k25: [µmol m-2.s-1] value of vc_max at 25°C
#
species;ea;ea_std;k25;k25_std
Abies alba;35.16;3.97;41.64;5.15
Acer pseudoplatanus;33.92;7.19;72.96;8.66
Betula pendula GH;50.60;3.86;68.85;14.19
Betula pendula OTC;37.19;4.98;85.07;3.65
Eucalytus pauciflora;51.56;2.09;87.73;
Fagus sylvatica GH;41.38;4.31;60.95;5.48
Fagus sylvatica ME;46.81;3.53;27.21;3.41
Fraxinus excelsior;50.61;3.60;77.97;9.65
Glycine max;54.08;3.86;97.76;9.15
Gossypium hirsutum;93.59;4.50;91.48;
Juglans regia;43.98;6.21;62.10;10.24
Pinus pinaster;62.22;2.76;89.98;5.01
Pinus radiata fert.;49.07;3.73;97.01;4.46
Pinus radiata unfert.;61.31;3.71;83.57;17.50
Pinus sylvestris;35.53;5.93;53.99;7.22
Pinus taeda;60.88;3.68;57.03;9.33
Prunus persica;73.74;3.28;65.50;3.88
Quercus petraea;56.28;2.79;79.50;8.55
Quercus robur GH;55.50;3.45;89.99;11.98
Quercus robur ME;46.26;3.11;40.83;12.28
